"agegroup","group","ID","participant","active_bool","localizationshift_deg","localizationshift_sd"
"cntrl","60explicit","bb_1609",189,1,-4.67164957740092,7.54743311593923
"cntrl","handview","bf_3237",190,0,-3.16685374314995,2.53274231305102
"cntrl","handview","bf_3237",190,1,-3.50103442325932,5.3247845062812
"cntrl","handview","bw_3254",191,0,-0.417757683107096,1.83884881481075
"cntrl","handview","bw_3254",191,1,-4.17883555770214,2.62408118436916
"cntrl","handview","rg_0410",192,0,-2.25287411456982,2.93487761193163
"cntrl","handview","rg_0410",192,1,-4.65131210574629,1.65776215158171
"cntrl","handview","bb_3233",193,0,-3.29083781934249,2.60782673705778
"cntrl","handview","bb_3233",193,1,-4.66353180166771,1.20030782919902
"cntrl","handview","cb_3260",194,0,-3.85641470663167,0.959009182230619
"cntrl","handview","cb_3260",194,1,-4.90081851070551,2.29771756366577
"cntrl","handview","bj_3241",195,0,0.321767774273387,2.62597155350104
"cntrl","handview","bj_3241",195,1,0.364911595181552,4.56378912508394
"cntrl","handview","bp_3247",196,0,-0.65379744338033,4.83255153245621
"cntrl","handview","bp_3247",196,1,-0.847287482243352,3.31773218729866
"cntrl","handview","by_3256",197,0,-17.2790909402098,4.85427457299733
"cntrl","handview","by_3256",197,1,-16.1575013112395,4.38749325192529
"cntrl","handview","ca_3259",198,0,-9.10197779787883,4.24006329921487
"cntrl","handview","ca_3259",198,1,-7.91434611309115,2.10727617627397
"cntrl","handview","bd_3235",199,0,0.651075688418031,0.484268848324696
"cntrl","handview","bd_3235",199,1,1.8978956124816,1.52752589394438
"cntrl","handview","be_3236",200,0,-3.59280269919793,4.01935268130037
"cntrl","handview","be_3236",200,1,-2.25244680253215,6.14631832947648
"cntrl","handview","bg_3238",201,0,5.02575333581245,4.01746919718628
"cntrl","handview","bg_3238",201,1,1.53412962667183,1.24954696862671
"cntrl","handview","bl_3243",202,0,-6.23281205667721,3.19395638839866
"cntrl","handview","bl_3243",202,1,-6.16574330786758,1.36427280436375
"cntrl","handview","br_3249",203,0,-6.63609410501973,6.25018941255962
"cntrl","handview","br_3249",203,1,-5.86465670659892,5.60565590378334
