group,ID,trial,targetangle_deg,arcangle_deg,homex_cm,homey_cm,handx_cm,handy_cm,tapx_cm,tapy_cm,block,time_ms,selected,active
aging_implicit,jc_2309,440,111.03,90,0,0,-4.1104,10.69,-2.88587362692205,11.2731002268075,3,3170,1,0
aging_implicit,jc_2309,441,70.519,50,0,0,3.7463,10.591,10.905526373078,6.37110022680752,3,2889,1,0
aging_implicit,jc_2309,442,108.4,130,0,0,-3.5182,10.577,-1.17087362692205,10.8151002268075,3,2709,1,0
aging_implicit,jc_2309,443,102.16,90,0,0,-2.3672,10.982,-3.24317362692205,11.2451002268075,3,2669,1,0
aging_implicit,jc_2309,444,60.097,50,0,0,5.7304,9.9643,9.83352637307795,7.51810022680752,3,2889,1,0
aging_implicit,jc_2309,571,106.62,90,0,0,-3.2256,10.803,-7.48307362692205,11.7031002268075,4,3042,1,0
aging_implicit,jc_2309,572,68.092,50,0,0,4.2003,10.445,5.06952637307795,11.1011002268075,4,3228,1,0
aging_implicit,jc_2309,573,103.4,130,0,0,-2.6052,10.937,-2.79057362692205,11.7031002268075,4,2869,1,0
aging_implicit,jc_2309,574,63.295,50,0,0,5.0055,9.9503,8.49952637307795,9.12310022680751,4,3092,1,0
aging_implicit,jc_2309,575,106.28,130,0,0,-3.1367,10.742,-4.14827362692205,11.7031002268075,4,3140,1,0
aging_implicit,jc_2309,576,91.469,90,0,0,-0.2864,11.168,3.49772637307795,11.1871002268075,4,4442,1,0
aging_implicit,jc_2309,577,111.37,90,0,0,-4.0811,10.431,-3.55287362692205,11.7031002268075,4,3411,1,0
aging_implicit,jc_2309,578,110.03,130,0,0,-3.8376,10.526,-3.07647362692205,11.7031002268075,4,2969,1,0
aging_implicit,jc_2309,579,73.479,50,0,0,3.2647,11.006,4.97452637307795,11.7031002268075,4,2980,1,0
aging_implicit,jc_2309,580,85.881,90,0,0,0.8184,11.365,1.56832637307795,11.7031002268075,4,3309,1,0
aging_implicit,jc_2309,581,75.296,50,0,0,2.9054,11.072,3.92642637307795,11.7031002268075,4,2989,1,0
aging_implicit,jc_2309,582,110.48,130,0,0,-3.9284,10.516,-7.48307362692205,11.7031002268075,4,2970,1,0
aging_implicit,jc_2309,583,68.989,50,0,0,4.053,10.552,10.333526373078,9.49610022680752,4,2869,1,0
aging_implicit,jc_2309,584,95.796,90,0,0,-1.1316,11.149,2.52112637307795,10.9011002268075,4,3823,1,0
aging_implicit,jc_2309,585,109.84,130,0,0,-3.9142,10.846,-2.24277362692205,11.7031002268075,4,2890,1,0
aging_implicit,jc_2309,586,109.23,130,0,0,-3.6815,10.555,-4.64857362692205,11.7031002268075,4,3276,1,0
aging_implicit,jc_2309,587,65.589,50,0,0,4.5875,10.108,11.834526373078,6.45710022680752,4,3160,1,0
aging_implicit,jc_2309,588,89.149,90,0,0,0.1676,11.279,2.94982637307795,9.20910022680751,4,3576,1,0
aging_implicit,bh_0608,91,155.09,130,0,0,-10.885,5.0538,-9.61920370038301,3.59578440493211,1,5123,1,1
aging_implicit,bh_0608,92,119.38,90,0,0,-5.9726,10.61,-6.76090370038301,11.1920844049321,1,3581,1,1
aging_implicit,bh_0608,93,76.765,50,0,0,2.7747,11.798,6.29219629961699,11.1920844049321,1,3108,1,1
aging_implicit,bh_0608,94,40.667,50,0,0,9.1929,7.8979,13.605196299617,4.77108440493211,1,3096,1,1
aging_implicit,bh_0608,95,169.95,130,0,0,-11.975,2.1224,-13.406803700383,3.19438440493211,1,2695,1,1
aging_implicit,bh_0608,96,94.923,90,0,0,-1.034,12.006,7.12619629961699,11.1920844049321,1,3715,1,1
aging_implicit,bh_0608,97,154.38,130,0,0,-10.995,5.2725,-10.548203700383,6.80608440493211,1,9327,1,1
aging_implicit,bh_0608,98,124.47,90,0,0,-6.9791,10.165,-5.49840370038301,11.1920844049321,1,3057,1,1
aging_implicit,bh_0608,99,43.651,50,0,0,8.9213,8.5108,11.890196299617,5.86008440493211,1,2859,1,1
aging_implicit,bh_0608,100,122.9,130,0,0,-6.6194,10.231,-0.353403700383013,8.78408440493211,1,6879,1,1
aging_implicit,bh_0608,101,134.23,90,0,0,-8.5781,8.8107,-7.52310370038301,9.18608440493211,1,2719,1,1
aging_implicit,bh_0608,102,29.408,50,0,0,10.647,6.0013,13.295196299617,3.16578440493211,1,2899,1,1
aging_implicit,bh_0608,103,149.29,130,0,0,-10.395,6.1752,-14.001803700383,6.06108440493211,1,3019,1,1
aging_implicit,bh_0608,104,98.609,90,0,0,-1.8262,12.063,2.29049629961699,11.1920844049321,1,3140,1,1
aging_implicit,bh_0608,105,82.779,50,0,0,1.5146,11.954,7.84019629961699,9.38608440493211,1,3997,1,1
aging_implicit,bh_0608,106,40.395,50,0,0,9.1701,7.8031,13.390196299617,2.56378440493211,1,5519,1,1
aging_implicit,bh_0608,107,149.04,130,0,0,-10.477,6.286,-11.286603700383,5.48778440493211,1,2700,1,1
aging_implicit,bh_0608,108,129.01,90,0,0,-7.595,9.3748,-7.49930370038301,7.66608440493211,1,3343,1,1
aging_implicit,bh_0608,235,180.19,130,0,0,-12.107,-0.0405,-15.835803700383,1.10178440493211,2,3300,1,1
aging_implicit,bh_0608,236,101.78,50,0,0,-2.4558,11.771,1.71889629961699,11.1920844049321,2,4047,1,1
aging_implicit,bh_0608,237,80.576,90,0,0,1.9988,12.042,5.83959629961699,10.5040844049321,2,3433,1,1
aging_implicit,bh_0608,238,72.486,50,0,0,3.682,11.668,10.675196299617,9.47208440493211,2,3731,1,1
aging_implicit,bh_0608,239,132.75,90,0,0,-8.3577,9.0425,-7.33250370038301,11.1920844049321,2,2859,1,1
aging_implicit,bh_0608,240,145.28,130,0,0,-10.008,6.9345,-10.905403700383,6.72008440493211,2,2577,1,1
aging_implicit,bh_0608,241,132.95,130,0,0,-8.295,8.9101,-9.92880370038301,9.96008440493211,2,2791,1,1
aging_implicit,bh_0608,242,94.715,90,0,0,-0.9954,12.07,4.69629629961699,10.3320844049321,2,4059,1,1
aging_implicit,bh_0608,243,94.557,50,0,0,-0.958,12.021,4.14839629961699,11.1920844049321,2,3481,1,1
aging_implicit,bh_0608,244,77.977,50,0,0,2.5505,11.975,10.437196299617,10.1030844049321,2,5564,1,1
aging_implicit,bh_0608,245,108.89,90,0,0,-3.9607,11.576,-0.162903700383014,11.1920844049321,2,4742,1,1
aging_implicit,bh_0608,246,134.99,130,0,0,-8.7224,8.7247,-8.73790370038301,8.55508440493211,2,2500,1,1
aging_implicit,bh_0608,247,94.863,50,0,0,-1.0208,11.999,3.17189629961699,11.1920844049321,2,2619,1,1
aging_implicit,bh_0608,248,115.22,130,0,0,-5.1328,10.896,-3.87871370038301,8.92808440493211,2,4560,1,1
aging_implicit,bh_0608,249,104.7,90,0,0,-3.1142,11.872,-1.37770370038301,9.12808440493211,2,6418,1,1
aging_implicit,bh_0608,250,64.077,50,0,0,5.3823,11.073,8.10219629961699,7.58008440493211,2,3720,1,1
aging_implicit,bh_0608,251,97.394,90,0,0,-1.5741,12.13,2.95749629961699,11.1920844049321,2,2699,1,1
aging_implicit,bh_0608,252,132.28,130,0,0,-8.1373,8.949,-6.14160370038301,10.4180844049321,2,3159,1,1
aging_implicit,bh_0608,379,130.8,90,0,0,-8.0401,9.3135,-8.59500370038301,11.1920844049321,3,4507,1,1
aging_implicit,bh_0608,380,70.633,50,0,0,4.0808,11.609,9.00719629961699,11.1920844049321,3,4256,1,1
aging_implicit,bh_0608,381,123.05,130,0,0,-6.6584,10.232,-5.76040370038301,11.1920844049321,3,2600,1,1
aging_implicit,bh_0608,382,63.471,50,0,0,5.3829,10.783,10.198196299617,8.55508440493211,3,3819,1,1
aging_implicit,bh_0608,383,81.82,90,0,0,1.7322,12.05,6.55419629961699,11.1920844049321,3,3609,1,1
aging_implicit,bh_0608,384,143.61,130,0,0,-9.7566,7.1893,-10.714903700383,8.84208440493211,3,2729,1,1
aging_implicit,bh_0608,385,130.91,90,0,0,-7.858,9.0697,-7.76130370038301,11.1920844049321,3,5649,1,1
aging_implicit,bh_0608,386,140.81,130,0,0,-9.4428,7.6985,-10.143203700383,7.81008440493211,3,2459,1,1
aging_implicit,bh_0608,387,91.965,50,0,0,-0.4173,12.16,4.86299629961699,11.1920844049321,3,3039,1,1
aging_implicit,bh_0608,388,45.216,50,0,0,8.6706,8.7363,12.914196299617,4.97178440493211,3,3017,1,1
aging_implicit,bh_0608,389,107.24,90,0,0,-3.569,11.504,3.95789629961699,11.1920844049321,3,4073,1,1
aging_implicit,bh_0608,390,142.81,130,0,0,-9.6391,7.3142,-9.90500370038301,8.35408440493211,3,2599,1,1
aging_implicit,bh_0608,391,118.68,130,0,0,-5.8512,10.697,-4.47420370038301,10.2750844049321,3,2655,1,1
aging_implicit,bh_0608,392,132.21,90,0,0,-8.2128,9.0549,-8.23770370038301,9.96008440493211,3,4951,1,1
aging_implicit,bh_0608,393,74.208,50,0,0,3.3113,11.708,6.45889629961699,9.64408440493211,3,2639,1,1
aging_implicit,bh_0608,394,44.382,50,0,0,8.7811,8.5936,9.00719629961699,6.34808440493211,3,2659,1,1
aging_implicit,bh_0608,395,136.7,130,0,0,-8.8365,8.3268,-9.97650370038301,9.98808440493211,3,2819,1,1
aging_implicit,bh_0608,396,107.54,90,0,0,-3.6169,11.442,-1.09180370038301,8.67008440493211,3,3521,1,1
aging_implicit,bh_0608,523,153.97,130,0,0,-11.013,5.3775,-10.881603700383,2.64978440493211,4,3735,1,1
aging_implicit,bh_0608,524,98.65,90,0,0,-1.8357,12.066,-0.877503700383014,10.5330844049321,4,3061,1,1
aging_implicit,bh_0608,525,99.061,50,0,0,-1.8972,11.897,1.02809629961699,11.1920844049321,4,2699,1,1
aging_implicit,bh_0608,526,120.91,130,0,0,-6.1802,10.322,-5.97480370038301,10.4760844049321,4,2480,1,1
aging_implicit,bh_0608,527,68.294,50,0,0,4.4906,11.281,8.96019629961699,9.87408440493211,4,2579,1,1
aging_implicit,bh_0608,528,124.6,90,0,0,-6.8802,9.9745,-7.88040370038301,11.1920844049321,4,2460,1,1
aging_implicit,bh_0608,529,124.12,130,0,0,-6.7678,9.9876,-8.14240370038301,10.1030844049321,4,2500,1,1
aging_implicit,bh_0608,530,75.498,50,0,0,3.0652,11.85,3.57679629961699,11.1920844049321,4,2560,1,1
aging_implicit,bh_0608,531,101.72,90,0,0,-2.5006,12.058,-1.78260370038301,11.1920844049321,4,2419,1,1
aging_implicit,bh_0608,532,120.61,130,0,0,-6.2601,10.581,-5.56990370038301,8.69808440493211,4,2679,1,1
aging_implicit,bh_0608,533,133.92,90,0,0,-8.3593,8.6799,-10.000303700383,8.06808440493211,4,2379,1,1
aging_implicit,bh_0608,534,44.86,50,0,0,8.6273,8.5853,11.651196299617,3.50978440493211,4,2919,1,1
aging_implicit,bh_0608,535,72.812,50,0,0,3.617,11.693,7.26919629961699,8.06808440493211,4,2439,1,1
aging_implicit,bh_0608,536,138.54,130,0,0,-9.1125,8.0518,-8.97610370038301,6.66308440493211,4,5842,1,1
aging_implicit,bh_0608,537,99.094,90,0,0,-1.9085,11.923,-2.68773370038301,7.92408440493211,4,3484,1,1
aging_implicit,bh_0608,538,113.97,90,0,0,-4.9197,11.067,-4.80770370038301,9.12808440493211,4,2299,1,1
aging_implicit,bh_0608,539,54.865,50,0,0,7.0861,10.07,9.46019629961699,5.63108440493211,4,2508,1,1
aging_implicit,bh_0608,540,135.5,130,0,0,-8.7089,8.5591,-9.35720370038301,5.94608440493211,4,2704,1,1
aging_implicit,bh_0608,139,153.7,130,0,0,-10.139,5.012,-15.2740436126354,3.26968379113452,1,2399,1,0
aging_implicit,bh_0608,140,117.37,90,0,0,-5.2708,10.18,-7.62824361263539,12.0986837911345,1,2340,1,0
aging_implicit,bh_0608,141,73.882,50,0,0,3.1831,11.015,5.52005638736461,12.0986837911345,1,2655,1,0
aging_implicit,bh_0608,142,42.663,50,0,0,8.2986,7.6478,14.2859563873646,4.27298379113452,1,5160,1,0
aging_implicit,bh_0608,143,168.86,130,0,0,-11.264,2.2174,-13.6310436126354,2.49568379113452,1,2282,1,0
aging_implicit,bh_0608,144,93.431,90,0,0,-0.671,11.193,0.56561638736461,12.0986837911345,1,2612,1,0
aging_implicit,bh_0608,145,153.07,130,0,0,-10.23,5.1972,-12.5110436126354,3.35568379113452,1,3140,1,0
aging_implicit,bh_0608,146,121.63,90,0,0,-6.2718,10.183,-7.65204361263539,9.14638379113452,1,2362,1,0
aging_implicit,bh_0608,147,46.594,50,0,0,8.0604,8.5217,12.1659563873646,8.31498379113452,1,2399,1,0
aging_implicit,bh_0608,148,123.17,130,0,0,-6.1546,9.4171,-6.62784361263539,8.65898379113452,1,3655,1,0
aging_implicit,bh_0608,149,131.44,90,0,0,-7.8677,8.9125,-9.70104361263539,9.43298379113452,1,2098,1,0
