group,version,participant,age,corrected_vision,sex,right_handed,height_cm,awareness
60implicit_b,ie,mb_1205,19,N,M,Y,177,3
60implicit_b,ei,rp_1105,25,N,M,Y,173,3
60implicit_b,ie,ts_1505,20,Y,F,Y,156,3
60implicit_b,ei,nb_1505,24,Y,M,Y,182,1
60implicit_b,ie,ss_2505,18,Y,F,Y,160,3
60implicit_b,ei,ud_2605,23,N,M,Y,174,3
60implicit_b,ie,rd_3105,19,Y,F,Y,165,3
60implicit_b,ei,ap_0106,22,N,F,Y,164,1
60implicit_b,ie,sc_0106,23,Y,F,Y,157,1
60implicit_b,ei,mc_0806,38,N,F,Y,164,1
60implicit_b,ie,uh_0206,21,N,F,Y,163,1
60implicit_b,ei,li_0806,20,Y,F,Y,160,1
60implicit_b,ie,jl_1406,21,N,F,Y,155,3
60implicit_b,ei,ho_1406,34,N,F,Y,168,0
60implicit_b,ie,dd_1506,19,N,M,Y,183,1
60implicit_b,ei,ej_2106,20,Y,M,Y,168,1
60implicit_b,ie,cg_2206,30,Y,F,Y,171,3
60implicit_b,ei,pb_2306,19,N,F,Y,169,1
60implicit_b,ie,rb_2306,23,N,M,Y,188,3
60explicit_b,ei,da_1505,26,Y,M,Y,176,1
60explicit_b,ie,at_1605,19,N,F,Y,160,3
60explicit_b,ei,ys_1605,23,Y,F,Y,163,3
60explicit_b,ie,im_1705,18,N,F,Y,173,3
60explicit_b,ei,ap_1705,19,N,M,Y,169,3
60explicit_b,ie,sm_1805,19,Y,M,Y,170,3
60explicit_b,ei,cn_2205,18,Y,F,Y,156,3
60explicit_b,ie,tp_2405,18,N,F,Y,164,3
60explicit_b,ei,ns_2405,21,N,F,Y,170,3
60explicit_b,ie,sd_2505,22,N,F,Y,170,1
60explicit_b,ei,nj_3105,19,N,M,Y,183,3
60explicit_b,ie,ak_0106,19,N,F,Y,160,3
60explicit_b,ei,mb_0206,25,Y,M,Y,175,3
60explicit_b,ie,bg_0705,22,Y,F,Y,156,1
60explicit_b,ei,vb_0706,25,N,M,Y,169,3
60explicit_b,ie,mw_0706,20,N,F,Y,165,3
60explicit_b,ei,mp_0906,19,N,F,Y,174,3
60explicit_b,ie,he_0906,18,Y,F,Y,163,0
60explicit_b,ei,pa_0906,23,N,F,Y,167,0
60explicit_b,ie,fm_1406,22,Y,F,Y,160,1
60explicit_b,ei,ag_1606,22,Y,F,Y,165,0
60explicit_b,ie,rr_2206,21,N,F,Y,153,3
60explicit_b,ei,ym_2206,22,N,F,Y,167,3
60explicit_b,ie,sa_2106,18,Y,F,Y,153,3
org30implicit,ie,ss_0601,20,N,F,Y,168,0
org30implicit,ei,bs_1201,21,N,M,Y,182,0
org30explicit,ie,ap_1201,19,N,F,Y,158,1
org30explicit,ei,sb_1501,18,Y,F,Y,165,1
org30implicit,ie,sc_0801,20,Y,F,Y,180,1
org30implicit,ei,mb_0801,19,N,F,Y,160,1
org30explicit,ie,ha_1501,18,Y,F,Y,158,3
org30explicit,ei,op_1901,20,Y,F,Y,159,1
org30implicit,ie,jv_1901,18,N,F,Y,163,1
org30implicit,ei,nm_0122,18,Y,F,Y,163,3
org30explicit,ie,sm_0122,18,Y,F,Y,159,0
org30explicit,ei,dn_2601,18,Y,M,Y,179,3
org30implicit,ie,sm_2601,19,Y ,F,Y,140,2
org30implicit,ei,ms_0129,32,Y,F,Y,96,1
org30explicit,ie,dl_0127,18,Y,M,Y,174,1
org30explicit,ei,te_0202,21,Y,F,Y,149,3
org30implicit,ie,mm_0205,18,Y,F,Y,158,1
org30implicit,ei,ta_0205,18,Y,F,Y,160,1
org30explicit,ie,hp_0205,18,Y,F,Y ,157,2
org30explicit,ei,sk_0209,19,Y,F,Y,168,3
org30implicit,ie,sk_0210,20,N,F,Y,157,1
org30implicit,ei,tp_0210,18,N,F,Y,14,1
org30explicit,ie,kb_0209,18,Y,M,Y,172,3
org30explicit,ei,ig_0212,22,N,M,Y,166,0
org30implicit,ie,nd_0212,19,Y,F,Y,150,3
org30implicit,ei,kn_0212,19,N,M,Y,167,3
